predicted : tensor([0.3650], grad_fn=<PowBackward2>), answer: 7500.0
predicted : tensor([0.6997], grad_fn=<PowBackward2>), answer: 2848.99951171875
predicted : tensor([0.9158], grad_fn=<PowBackward2>), answer: 110.9999771118164
predicted : tensor([1.5576], grad_fn=<PowBackward2>), answer: 2113.999755859375
predicted : tensor([2.2149], grad_fn=<PowBackward2>), answer: 889.9998779296875
predicted : tensor([3.0205], grad_fn=<PowBackward2>), answer: 95.0
predicted : tensor([5.3172], grad_fn=<PowBackward2>), answer: 1100.000244140625
predicted : tensor([6.7480], grad_fn=<PowBackward2>), answer: 1897.0001220703125
predicted : tensor([4.9668], grad_fn=<PowBackward2>), answer: 2603.0
predicted : tensor([4.6326], grad_fn=<PowBackward2>), answer: 2200.000244140625
predicted : tensor([23.2980], grad_fn=<PowBackward2>), answer: 587.9998779296875
predicted : tensor([37.5988], grad_fn=<PowBackward2>), answer: 2499.99951171875
predicted : tensor([15.5223], grad_fn=<PowBackward2>), answer: 217.9999542236328
predicted : tensor([25.9475], grad_fn=<PowBackward2>), answer: 4131.00048828125
predicted : tensor([297.7293], grad_fn=<PowBackward2>), answer: 5400.0
predicted : tensor([263.3220], grad_fn=<PowBackward2>), answer: 6250.99951171875
predicted : tensor([204.6643], grad_fn=<PowBackward2>), answer: 3500.00048828125
predicted : tensor([2771.2083], grad_fn=<PowBackward2>), answer: 3625.5
predicted : tensor([65.6332], grad_fn=<PowBackward2>), answer: 237.99996948242188
predicted : tensor([22628.4746], grad_fn=<PowBackward2>), answer: 2296.000244140625
predicted : tensor([119.6442], grad_fn=<PowBackward2>), answer: 10000.9990234375
predicted : tensor([948.8075], grad_fn=<PowBackward2>), answer: 20.000001907348633
predicted : tensor([2989.6594], grad_fn=<PowBackward2>), answer: 2246.999755859375
predicted : tensor([20196.3574], grad_fn=<PowBackward2>), answer: 7500.0
predicted : tensor([14247.0410], grad_fn=<PowBackward2>), answer: 3500.00048828125
predicted : tensor([33666.4141], grad_fn=<PowBackward2>), answer: 1323.999755859375
predicted : tensor([3335.4744], grad_fn=<PowBackward2>), answer: 201.9999542236328
predicted : tensor([5060.4351], grad_fn=<PowBackward2>), answer: 300.00006103515625
predicted : tensor([8661.9922], grad_fn=<PowBackward2>), answer: 520.0000610351562
predicted : tensor([303.0312], grad_fn=<PowBackward2>), answer: 10000.9990234375
predicted : tensor([573.5023], grad_fn=<PowBackward2>), answer: 10000.9990234375
predicted : tensor([231.7872], grad_fn=<PowBackward2>), answer: 6250.99951171875
predicted : tensor([5953.0728], grad_fn=<PowBackward2>), answer: 2750.999755859375
predicted : tensor([2611.3689], grad_fn=<PowBackward2>), answer: 3674.999755859375
predicted : tensor([459.3270], grad_fn=<PowBackward2>), answer: 2750.999755859375
predicted : tensor([437.6264], grad_fn=<PowBackward2>), answer: 7500.0
predicted : tensor([1447.2098], grad_fn=<PowBackward2>), answer: 726.9999389648438
predicted : tensor([1843.8663], grad_fn=<PowBackward2>), answer: 1263.9998779296875
predicted : tensor([551.6104], grad_fn=<PowBackward2>), answer: 4399.99951171875
predicted : tensor([1115.6177], grad_fn=<PowBackward2>), answer: 1272.000244140625
predicted : tensor([843.3827], grad_fn=<PowBackward2>), answer: 2064.99951171875
predicted : tensor([898.4553], grad_fn=<PowBackward2>), answer: 2750.999755859375
predicted : tensor([485.4416], grad_fn=<PowBackward2>), answer: 35.39999771118164
predicted : tensor([332.2553], grad_fn=<PowBackward2>), answer: 3500.00048828125
predicted : tensor([305.1930], grad_fn=<PowBackward2>), answer: 3150.999755859375
predicted : tensor([694.2053], grad_fn=<PowBackward2>), answer: 3000.000732421875
predicted : tensor([984.4705], grad_fn=<PowBackward2>), answer: 3813.000732421875
predicted : tensor([1330.0508], grad_fn=<PowBackward2>), answer: 10000.0
predicted : tensor([810.3405], grad_fn=<PowBackward2>), answer: 11.774998664855957
predicted : tensor([600.0010], grad_fn=<PowBackward2>), answer: 618.9999389648438
predicted : tensor([724.3853], grad_fn=<PowBackward2>), answer: 1732.4998779296875
predicted : tensor([559.4260], grad_fn=<PowBackward2>), answer: 4223.0
predicted : tensor([701.3539], grad_fn=<PowBackward2>), answer: 1599.999755859375
predicted : tensor([1033.2274], grad_fn=<PowBackward2>), answer: 7500.0
predicted : tensor([2096.3076], grad_fn=<PowBackward2>), answer: 400.0000915527344
predicted : tensor([538.5298], grad_fn=<PowBackward2>), answer: 264.0
predicted : tensor([3486.5054], grad_fn=<PowBackward2>), answer: 3500.00048828125
predicted : tensor([666.1125], grad_fn=<PowBackward2>), answer: 390.00006103515625
predicted : tensor([1311.8326], grad_fn=<PowBackward2>), answer: 3334.00048828125
predicted : tensor([1637.7440], grad_fn=<PowBackward2>), answer: 654.9999389648438
predicted : tensor([994.2272], grad_fn=<PowBackward2>), answer: 2549.999755859375
predicted : tensor([3677.6477], grad_fn=<PowBackward2>), answer: 8749.9990234375
predicted : tensor([2887.3237], grad_fn=<PowBackward2>), answer: 3530.000732421875
predicted : tensor([1869.1180], grad_fn=<PowBackward2>), answer: 22.318002700805664
predicted : tensor([1609.3429], grad_fn=<PowBackward2>), answer: 8285.0
predicted : tensor([1665.7418], grad_fn=<PowBackward2>), answer: 1424.999755859375
predicted : tensor([1779.7971], grad_fn=<PowBackward2>), answer: 2.2100000381469727
predicted : tensor([3366.8931], grad_fn=<PowBackward2>), answer: 29.999998092651367
predicted : tensor([2801.2380], grad_fn=<PowBackward2>), answer: 4375.00048828125
predicted : tensor([199.5265], grad_fn=<PowBackward2>), answer: 3200.000732421875
predicted : tensor([1401.2438], grad_fn=<PowBackward2>), answer: 800.0
predicted : tensor([2694.9817], grad_fn=<PowBackward2>), answer: 165.00001525878906
