predicted : tensor([0.6811], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([0.8330], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([13.5854], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([2.5315], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([81.5266], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([24.9589], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([68.6863], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([283.2587], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1091.1296], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([6.5359], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([452.7145], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([9.4036], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([2045.1345], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([156.8605], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([17.0952], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([4375.6226], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([3243.9636], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([49.5344], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([4752.2178], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([284551.3750], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([17497.5078], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([5173.1792], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([13006.9453], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([32205.0938], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([400.0067], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([241.3721], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1230.3043], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([18158.1992], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([13006217.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([588.1187], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1325.0739], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([1064199.], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([149441.8906], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([4495284.5000], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([3648551.2500], grad_fn=<PowBackward2>), answer: 10.0
predicted : tensor([5830.3657], grad_fn=<PowBackward2>), answer: 10.0
